ID,URL,Thumbnail URL,Game,Vibrant,DarkVibrant,LightVibrant,Muted,DarkMuted,LightMuted,Price,Brief Description,Creator,Creator Itch.IO Page,Status,Updated,Platforms,Publisher,Release date,Rating,Authors,Genre,Made with,Tags,Average session,Languages,Inputs,Accessibility,Links,Number of Ratings
364551,https://starbornkit.itch.io/robogirls-get-together,https://img.itch.zone/aW1nLzE4MjM5NzAucG5n/315x250%23c/fbw0Vk.png,Robogirls Get Together,#7f7f7f,#424242,#bcbcbc,#7c7c7c,#393939,#989898,,a microstory about two robot girls trying to meet up.,Kit,https://starbornkit.itch.io,Released,,HTML5,,,4.7,,Adventure,Bitsy,"Bitsy, LGBT, Lo-fi, Pixel Art, Sci-fi, Transgender",,,,,,11
236981,https://le-onionboi.itch.io/p-i-berry,https://img.itch.zone/aW1hZ2UvMjM2OTgxLzExMjcyMjgucG5n/315x250%23c/oHnC2R.png,p. i. berry: a fruitcity detective,#fc247d,#7c1241,#fc6cac,#645c8c,#3c4159,#b7aacc,,solve a case set in the world of onion detective!,onion,https://le-onionboi.itch.io,Released,,HTML5,,,4.8,,,Bitsy,"Bitsy, Crime, Detective, everyone-is-nonbinary, fruit, LGBT, Mystery",,,,,,11
114790,https://thanaorchard.itch.io/n-o-nb,https://img.itch.zone/aW1hZ2UvMTE0NzkwLzUzNzUyNS5wbmc=/315x250%23c/aSgZ1f.png,N O NB,#cc356e,#0e3f75,#d173b2,#9b6084,#462d30,#dfcbd1,,"Fresh from the void, observe the idols of spectral extremities.​",Thana,https://thanaorchard.itch.io,Released,,"Windows, macOS, Linux",,,4.5,,,,"3D, Abstract, Altgame, Furry, LGBT, Lo-fi, Low-poly, Music, Walking simulator, weird",,,,,,11
164319,https://vgperson.itch.io/all-to-get-her,https://img.itch.zone/aW1hZ2UvMTY0MzE5Lzc3NzA4OC5wbmc=/315x250%23c/gGhavd.png,All To Get Her,#b48444,#743c34,#dac09e,#ad7c4f,#443434,#b48c7c,,Guide two girls through a puzzle-platformer dungeon in their quest for the ultimate reward. (Solo or two-player co-op!),vgperson,https://vgperson.itch.io,Released,,"Windows, macOS",,,4.7,,Puzzle,Unity,"Co-op, Female Protagonist, LGBT, Local Co-Op, Puzzle-Platformer, Retro, Yuri",A few minutes,English,"Keyboard, Gamepad (any)",Configurable controls,http://vgperson.com/games/alltogether.htm,10
669629,https://knickknackpj.itch.io/pillarsonpoppyhills,https://img.itch.zone/aW1nLzM5Njk5OTUucG5n/315x250%23c/9zd8Qh.png,Pillars on Poppy Hills,#d61d1b,#582321,#cc7c7c,#ac5b5b,#5d4847,#bca09b,,A visual novel about wanting to become something or nothing.​​,Knickknack PJ,https://knickknackpj.itch.io,Released,11 days ago,"Windows, macOS, Linux",,,4.6,,Visual Novel,,"Atmospheric, Boys' Love, Experimental, LGBT, LGBTQIA, Narrative, Short, Story Rich",,,,,,10
632218,https://illuminesce.itch.io/terranova,https://img.itch.zone/aW1nLzQ5NjU1ODgucG5n/315x250%23c/V9yZKD.png,Terranova,#3ccc14,#240a4e,#fafaa3,#ab6951,#4f2a5a,#aac8bd,$5.00,A game about fangirls in the 2000's.,illuminesce,https://illuminesce.itch.io,In development,,"Windows, macOS",,,4.6,,Interactive Fiction,,"Anime, Internet, LGBT, Meaningful Choices, Point & Click, Queer, Retro, user-interface, Yaoi",,,,,,10
269100,https://radiatoryang.itch.io/dreamhard,https://img.itch.zone/aW1hZ2UvMjY5MTAwLzEyOTkwOTIuanBn/315x250%23c/d2T%2Bzu.jpg,Dream Hard,#8c2c24,#1a2f65,#e39b95,#a5685b,#57353a,#79261f,$5.00,short 2-player co-op queer-themed beat 'em up game,Robert Yang,https://radiatoryang.itch.io,Released,,"Windows, macOS",,,3.9,,Action,Unity,"Beat 'em up, brawler, Co-op, LGBT, local, Local Co-Op, Local multiplayer, Queer",A few minutes,English,"Keyboard, Xbox controller, Gamepad (any), Joystick, Playstation controller",,,10
391969,https://idhas.itch.io/rising-angels-judgment,https://img.itch.zone/aW1nLzE5NDMwMDIucG5n/315x250%23c/1yLJIR.png,Rising Angels: Judgment,#c04797,#8f141f,#f8e4ae,#996c53,#2b2f56,#9aacd0,,Accountability for their actions and the galaxy await the crew of the Nimross...,IDHAS Studios,https://idhas.itch.io,Released,,"Windows, macOS, Linux",,,4.8,,"Visual Novel, Adventure",,"Fantasy, LGBT, Sci-fi, Yuri",,,,,,10
383337,https://idhas.itch.io/rising-angels-reborn,https://img.itch.zone/aW1nLzE5MjQwNTUuanBn/315x250%23c/yXM9V1.jpg,Rising Angels: Reborn,#bf333e,#6c0808,#cdb7dd,#6989aa,#323054,#cebebd,,A space force investigator pursues a missing person's case across the galaxy,IDHAS Studios,https://idhas.itch.io,Released,,"Windows, macOS, Linux",,,4.3,,Visual Novel,,"Dragons, Female Protagonist, LGBT, Sci-fi, Yuri",,,,,,10
240633,https://gallium-games.itch.io/delusion-gallery,https://img.itch.zone/aW1hZ2UvMjQwNjMzLzExNDY1OTAucG5n/315x250%23c/UKC7uP.png,Delusion Gallery,#7f7f7f,#424242,#bcbcbc,#7c7c7c,#444444,#bcbcbc,,A key... A wish... A horrible nightmare.,Gallium Games,https://gallium-games.itch.io,Released,,"Windows, macOS",,,4.5,,Visual Novel,,"Horror, LGBT, Nonlinear, Voice Acting",,,,,,10
